,Unnamed: 0,Species,Atlas,Tissue,Status,Platform,Seq-type,Year,Accession,Link,Datasets,DOI,DatasetsURL,share
41,42,Human,Adult,Cerebral cortex,Alzheimer's disease,Chromium,snRNA-seq,2021,GSE148822,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148822,human_brain_microglia_Gerrits_2021_10x,10.1007/s00401-021-02263-w,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EU65xyT7Hu1HvvvuD98FbXIBSHGtSbRofUhUbjDjkI8eCA?e=WEpbnV,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EU65xyT7Hu1HvvvuD98FbXIBSHGtSbRofUhUbjDjkI8eCA?e=WEpbnV&Download=1
42,43,Human,Adult,Cerebral cortex,Frontotemporal dementia,Chromium,snRNA-seq,2022,GSE163122,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163122,human_brain_Frontaltemporal_Gerrits_2022_10x,10.1038/s41593-022-01124-3,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQ8ePcf3uNpOjDXPhqPVa1sB5k64wiYJ5nz7Nzgz6w6T4A?e=voHLPf,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQ8ePcf3uNpOjDXPhqPVa1sB5k64wiYJ5nz7Nzgz6w6T4A?e=voHLPf&Download=1
43,44,Human,Tumour,Tumour,Glioma,Smart-seq2,scRNA-seq,2017,GSE89567,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89567,human_brain_glial_Venteicher_Smartseq2,10.1126/science.aai8478,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWBux9Tq3wNOgRBA6ItMoH8BlWehgFk03mLarKFeuTQhTg?e=kCiyzl,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWBux9Tq3wNOgRBA6ItMoH8BlWehgFk03mLarKFeuTQhTg?e=kCiyzl&Download=1
44,45,Human,Tumour,Tumour,Glioma,mCEL-seq2,scRNA-seq,2019,GSE135437,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135437,human_brain_GBM_Sankowski_2019_mCEL-seq2,10.1038/s41593-019-0532-y,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EY0vGJW7Z7xMmsz9DXOVMfUBm1hhN1GoWaeNaR0RXoqI8A?e=dYcv7X,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EY0vGJW7Z7xMmsz9DXOVMfUBm1hhN1GoWaeNaR0RXoqI8A?e=dYcv7X&Download=1
45,46,Human,Adult,Entorhinal cortex,Alzheimer's disease,DroNc-seq,snRNA-seq,2019,GSE138852,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138852,human_brain_entorhinalcortex_Grubman_2019_DroNc-seq,10.1038/s41593-019-0539-4,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfkOOwuQEshCv5SpcpQvX9MB7w0BJyu4tD1lbg1TNPfw_g?e=9vEp8K,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfkOOwuQEshCv5SpcpQvX9MB7w0BJyu4tD1lbg1TNPfw_g?e=9vEp8K&Download=1
46,47,Human,Adult,Cerebral cortex,Alzheimer's disease,Chromium,snRNA-seq,2021,GSE147528,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147528,human_brain_Leng_2021_10x,10.1038/s41593-020-00764-7,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZsh5AnmbcNLpVAaJ7IaQSkBWIfMQzmGLi98sIK_5vs8xw?e=uAIyVj,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZsh5AnmbcNLpVAaJ7IaQSkBWIfMQzmGLi98sIK_5vs8xw?e=uAIyVj&Download=1
47,48,Human,Adult,Microglia,Alzheimer's disease,Chromium,snRNA-seq,2020,GSE146639,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146639,human_brain_Alsema_2020_10x,10.3389/fnmol.2020.00134,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZzqWll_gPVGvy2gXXyd6LkBjuc7Wh46niOsJ53KcV83hA?e=VQmEwN,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZzqWll_gPVGvy2gXXyd6LkBjuc7Wh46niOsJ53KcV83hA?e=VQmEwN&Download=1
48,49,Human,Fetal,Cerebral cortex,Glioma,Modified Smart-seq2,scRNA-seq,2021,GSE144462,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144462,human_brain_glial_Fu_2021_PCR,10.1016/j.celrep.2021.108788,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUcuvysVJ8dEop5Y3xw6xnwBMtw2mMp1h-f8dJ4TloBvMQ?e=UtRsSj,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUcuvysVJ8dEop5Y3xw6xnwBMtw2mMp1h-f8dJ4TloBvMQ?e=UtRsSj&Download=1
49,50,Human,Fetal,Cerebral cortex,Development,Modified Smart-seq2,scRNA-seq,2021,GSE144462,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144462,human_brain_glial_Fu_2021_PCR,10.1016/j.celrep.2021.108788,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUcuvysVJ8dEop5Y3xw6xnwBMtw2mMp1h-f8dJ4TloBvMQ?e=UtRsSj,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUcuvysVJ8dEop5Y3xw6xnwBMtw2mMp1h-f8dJ4TloBvMQ?e=UtRsSj&Download=1
50,51,Human,Fetal,Cerebral cortex,Development,STRT-seq,scRNA-seq,2018,GSE103723,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103723,human_brain_source_Fan_2018,10.1038/s41422-018-0053-3,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYQJCPVeksZGoc9CisK_DasBl84YpAxU2i6knZJ-SaNfdg?e=IlBB4G,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYQJCPVeksZGoc9CisK_DasBl84YpAxU2i6knZJ-SaNfdg?e=IlBB4G&Download=1
51,52,Human,Adult,Basal ganglia,Healthy,Chromium,snRNA-seq,2019,GSE126836,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126836,human_mouse_brain_Welch_2019_10x,10.1016/j.cell.2019.05.006,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdSTXMFm3jFPs2hVwgINO3YBd9SwAvUf5ujV1_9vpUQSvQ?e=1YDr4I,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdSTXMFm3jFPs2hVwgINO3YBd9SwAvUf5ujV1_9vpUQSvQ?e=1YDr4I&Download=1
52,53,Human,Adult,Basal ganglia,Parkinson's disease,Drop-seq,snRNA-seq,2022,GSE178265,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178265,mouse_brain_SNpc_Kamath_2022_10x_Slide,10.1038/s41593-022-01061-1,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWH3jluT0RRMtPgxiGhdva8BdqUg1YvHuqVdKCbjVaKAAQ?e=fzwkYu,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWH3jluT0RRMtPgxiGhdva8BdqUg1YvHuqVdKCbjVaKAAQ?e=fzwkYu&Download=1
53,54,Human,Adult,Prefrontal cortex,Healthy,DroNc-seq,scRNA-seq,2017,GSE71585,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71585,mouse_brain_source_Habib_2017,10.1038/nmeth.4407,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfE-cAbPjsdNvP2HZNLJ3owBCSkmGCHj32PPcO-Kd_E7vg?e=gHSO4Q,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfE-cAbPjsdNvP2HZNLJ3owBCSkmGCHj32PPcO-Kd_E7vg?e=gHSO4Q&Download=1
54,55,Human,Adult,Hippocampus,Healthy,DroNc-seq,scRNA-seq,2017,GSE71585,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71585,mouse_brain_source_Habib_2017,10.1038/nmeth.4407,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfE-cAbPjsdNvP2HZNLJ3owBCSkmGCHj32PPcO-Kd_E7vg?e=gHSO4Q,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EfE-cAbPjsdNvP2HZNLJ3owBCSkmGCHj32PPcO-Kd_E7vg?e=gHSO4Q&Download=1
55,56,Human,Fetal,Cerebral cortex,Development,Chromium,scRNA-seq,2021,GSE162170,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162170,human_brain_Trevino_cortex_2021_10x,10.1016/j.cell.2021.07.039,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUHxKRmzZipMnpn9DiWTyQIBwGJJZQ8q73PbAOG65eo0Zg?e=yuZHm8,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUHxKRmzZipMnpn9DiWTyQIBwGJJZQ8q73PbAOG65eo0Zg?e=yuZHm8&Download=1
56,57,Human,Fetal,Hippocampus,Development,Chromium,scRNA-seq,2020,GSE131258,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131258,human_brain_hippocampus_Zhong_2019_ATAC-seq,10.1038/s41586-019-1917-5,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Efi4bC1vzkZEhmOIRNFx9SUB-912-wz9ettzz2pl4y84mw?e=dqV76d,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/Efi4bC1vzkZEhmOIRNFx9SUB-912-wz9ettzz2pl4y84mw?e=dqV76d&Download=1
57,58,Human,Fetal,Cerebral cortex,Development,Chromium,scRNA-seq,2017,,http://bit.ly/cortexSingleCell,human_brain_RadialGlia_Nowakowski_2017_FluidigmC1,10.1126/science.aap8809,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUher7TFqKNIlhxWl3F3MMkBzkbMjNISD2HnqmHBiaeCGA?e=cCpOvb,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUher7TFqKNIlhxWl3F3MMkBzkbMjNISD2HnqmHBiaeCGA?e=cCpOvb&Download=1
58,59,Human,Tumour,Tumour,Glioma,Chromium,scRNA-seq,2021,GSE148842,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148842,human_brain_GBM_Zhao_2020_Microwell,10.1186/s13073-021-00894-y,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EeMpRcAX_S1Eg6k-x5OvUCYBnBRpCB7CZm4jA_dr2JPvXg?e=Fet0OI,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EeMpRcAX_S1Eg6k-x5OvUCYBnBRpCB7CZm4jA_dr2JPvXg?e=Fet0OI&Download=1
59,60,Human,Adult,Brain vasculature,Malform vasculature,Chromium,snRNA-seq,2022,,https://cells.ucsc.edu/?ds=adult-brain-vasc,human_brain_vascular_winkler_2022_10x,10.1126/science.abi7377,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWOzEMGyFG1ClYIrrGzDxWYBxkHBxqYWnVyZ6z2hsFjhxg?e=tgN7FE,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWOzEMGyFG1ClYIrrGzDxWYBxkHBxqYWnVyZ6z2hsFjhxg?e=tgN7FE&Download=1
60,61,Human,Tumour,Tumour,Glioma,Smart-seq2,scRNA-seq,2018,GSE102130,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102130,human_brain_glioma_Filbin_2018_Smartseq2,10.1126/science.aao4750,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXn5UXCi4SdOh0IE49as1XMBmq0lfmA3R5RinUgvYYKXiw?e=fbMzDc,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EXn5UXCi4SdOh0IE49as1XMBmq0lfmA3R5RinUgvYYKXiw?e=fbMzDc&Download=1
61,62,Human,Tumour,Tumour,Glioma,Smart-seq2,scRNA-seq,2017,GSE84465,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84465,human_brain_Glioblastoma_Darmanis_2017_SmartSeq2,10.1016/j.celrep.2017.10.030,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdpJSjMcV0FOg361oPfjmr4BZoyagJoQP7O-sOyz3h5DhA?e=wK6dnS,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdpJSjMcV0FOg361oPfjmr4BZoyagJoQP7O-sOyz3h5DhA?e=wK6dnS&Download=1
62,63,Human,Tumour,Tumour,Glioma,STRT-seq,scRNA-seq,2016,GSE70630,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70630,human_brain_Oligodendrogliomas_Tirosh_2016_Smartseq2_STRT-seq,10.1038/nature20123,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ERSCRbnh_4NBiAwBK_mJaBcBKhPkiPC8FrYHBJgMFQIRJA?e=pmqlzH,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ERSCRbnh_4NBiAwBK_mJaBcBKhPkiPC8FrYHBJgMFQIRJA?e=pmqlzH&Download=1
63,64,Human,Organoid,Organoid,Organoid growth,Chromium,scRNA-seq,2021,E-MTAB-10974,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10974,human_brain_cerebral_organoids_He_2021_10x_Visium_iTracer_perturb,10.1038/s41592-021-01344-8,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EU-09g4DB4hKqQnAmrUbTBgBqIj-iZ8OvxqSb6M0HnFl5Q?e=VUXmkT,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EU-09g4DB4hKqQnAmrUbTBgBqIj-iZ8OvxqSb6M0HnFl5Q?e=VUXmkT&Download=1
64,65,Human,Organoid,Organoid,Organoid growth,Chromium,scRNA-seq,2022,E-MTAB-12001,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12001,human_brain_cerebral_organoids_Fleck_2022_10x_ATAC,10.1038/s41586-022-05279-8,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYe0u8XGApxDv5J38XJpz6QB395r0r9YUuShzG1KwyjqRA?e=wjO67H,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYe0u8XGApxDv5J38XJpz6QB395r0r9YUuShzG1KwyjqRA?e=wjO67H&Download=1
65,66,Human,Adult,Prefrontal cortex,Healthy,Chromium,snRNA-seq,2022,SCR_016152,https://assets.nemoarchive.org/dat-37m82a9dat-zkgd0it,human_chimp_macaque_PFC_Ma_2022_ATAC-seq_10x,10.1126/science.abo7257,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZUDtQk8mLZEtWsZk5U6yWABrAoVVch5NcHc-1uhhOtcJQ?e=S374CI,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZUDtQk8mLZEtWsZk5U6yWABrAoVVch5NcHc-1uhhOtcJQ?e=S374CI&Download=1
66,67,Human,Organoid,Organoid,Development,Chromium,scRNA-seq,2019,E-MTAB-8230,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8230,human_chimpanzee_bonobo_macaque_brain_source_Kanton_2019,10.1038/s41586-019-1654-9,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZUrSKrFsktEtXMQY6x_KlQB4eXVMjtBxi7gJTonUpq5-w?e=300EG7,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EZUrSKrFsktEtXMQY6x_KlQB4eXVMjtBxi7gJTonUpq5-w?e=300EG7&Download=1
67,68,Human,Adult,Cerebral cortex,Healthy,STRT-seq2,snRNA-seq,2017,GSE101601,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101601,human_mouse_brain_SomatosensoryCortex_Hochgarner_2017_STRT-seq,10.1038/s41598-017-16546-4,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETbd-iKp1CJCqckQg_kSdcQBnw6EXdckhI0r5-pBo3i1VQ?e=19SYfy,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETbd-iKp1CJCqckQg_kSdcQBnw6EXdckhI0r5-pBo3i1VQ?e=19SYfy&Download=1
68,69,Human,Adult,Cingulate cortex,Healthy,Chromium,snRNA-seq,2019,syn22213200,https://www.synapse.org/#!Synapse:syn22213200,human_mouse_brain_source_Gaublomme_2019,10.1038/s41467-019-10756-2,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdtVibg42FhEt-nUi6Aku6oBdPkM48VdJvmdNIamwPEwZA?e=xx3QPR,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EdtVibg42FhEt-nUi6Aku6oBdPkM48VdJvmdNIamwPEwZA?e=xx3QPR&Download=1
69,70,Human,Adult,Cerebral cortex,Healthy,Chromium,scRNA-seq,2018,,http://development.psychencode.org/#,human_brain_frontoparietal_Li_2018,10.1126/science.aat7615,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQFn6mQ65pdCta-ONI0TfGEB4Z9FRawvOoTsbjWIr0xuIg?e=WMsaNp,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQFn6mQ65pdCta-ONI0TfGEB4Z9FRawvOoTsbjWIr0xuIg?e=WMsaNp&Download=1
70,71,Human,Fetal,Cerebral cortex,Development,Fluidigm C1,scRNA-seq,2018,,http://development.psychencode.org/#,human_brain_frontoparietal_Li_2018,10.1126/science.aat7615,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQFn6mQ65pdCta-ONI0TfGEB4Z9FRawvOoTsbjWIr0xuIg?e=WMsaNp,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EQFn6mQ65pdCta-ONI0TfGEB4Z9FRawvOoTsbjWIr0xuIg?e=WMsaNp&Download=1
71,72,Human,Fetal,Prefrontal cortex,Development,Smart-seq2,scRNA-seq,2018,GSE104276,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104276,human_brain_source_Zhong_2018,10.1038/nature25980,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYtFCi36h0RHq8_hGEUd8AoBsp3rkTMMx2sUfvYH3Q-o3Q?e=YpFsY9,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYtFCi36h0RHq8_hGEUd8AoBsp3rkTMMx2sUfvYH3Q-o3Q?e=YpFsY9&Download=1
72,73,Human,Fetal,Cerebral cortex,Development,Chromium,scRNA-seq,2020,GSE132672,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132672,brain_Bhaduri2020_Human_10x,10.1038/s41586-020-1962-0,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUqFKU_4yaxHudX3utBBqfcBkcDxgM86tYmRJPqpJ3Dhqw?e=KIfXOT,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUqFKU_4yaxHudX3utBBqfcBkcDxgM86tYmRJPqpJ3Dhqw?e=KIfXOT&Download=1
73,74,Human,Organoid,Organoid,Organoid growth,Chromium,scRNA-seq,2020,GSE132672,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132672,brain_Bhaduri2020_Human_10x,10.1038/s41586-020-1962-0,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUqFKU_4yaxHudX3utBBqfcBkcDxgM86tYmRJPqpJ3Dhqw?e=KIfXOT,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EUqFKU_4yaxHudX3utBBqfcBkcDxgM86tYmRJPqpJ3Dhqw?e=KIfXOT&Download=1
74,75,Human,Organoid,Organoid,Healthy,STICR,scRNA-seq,2021,GSE187875,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE187875,human_brain_cerebralcortex_Delgato_2022,10.1038/s41586-021-04230-7,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVcbPwBJPA5Fo6xzNR4Wsy8BeoEiu6nGrymiENT4GqY-bA?e=CVhUtK,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EVcbPwBJPA5Fo6xzNR4Wsy8BeoEiu6nGrymiENT4GqY-bA?e=CVhUtK&Download=1
75,76,Human,Adult,Hippocampus,Development,Split-seq,snRNA-seq,2022,GSE199243,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199243,human_brain_Hippocampus_Su_2022_10x,10.1016/j.stem.2022.09.010,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETkMTkD3gItIs99dG2hZhHUBOJ4zf0BIhydc7NfSnvkipw?e=TiCLJc,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/ETkMTkD3gItIs99dG2hZhHUBOJ4zf0BIhydc7NfSnvkipw?e=TiCLJc&Download=1
76,77,Human,Adult,Hippocampus,Development,Split-seq,snRNA-seq,2022,GSE185553,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185553,human_brain_hippocampus_YiZhou_2022_10x,10.1038/s41586-022-04912-w,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYmN2SFNPBFGuISPm2Wb4bsBngqV0Fvz1-gpov7MqisZ9w?e=hZ2Xle,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYmN2SFNPBFGuISPm2Wb4bsBngqV0Fvz1-gpov7MqisZ9w?e=hZ2Xle&Download=1
77,78,Human,Adult,Hippocampus,Development,Split-seq,snRNA-seq,2022,GSE185277,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185277,human_brain_hippocampus_YiZhou_2022_10x,10.1038/s41586-022-04912-w,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYmN2SFNPBFGuISPm2Wb4bsBngqV0Fvz1-gpov7MqisZ9w?e=hZ2Xle,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYmN2SFNPBFGuISPm2Wb4bsBngqV0Fvz1-gpov7MqisZ9w?e=hZ2Xle&Download=1
78,79,Human,Adult,Hippocampus,Alzheimer's disease,Split-seq,snRNA-seq,2022,GSE198323,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198323,human_brain_hippocampus_YiZhou_2022_10x,10.1038/s41586-022-04912-w,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYmN2SFNPBFGuISPm2Wb4bsBngqV0Fvz1-gpov7MqisZ9w?e=hZ2Xle,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EYmN2SFNPBFGuISPm2Wb4bsBngqV0Fvz1-gpov7MqisZ9w?e=hZ2Xle&Download=1
79,80,Human,Fetal,Pituitary gland,Development,Modified split-seq,scRNA-seq,2020,GSE142653,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142653,human_brain_Pituitary_gland_Zhang_2020_STRTseq,10.1038/s41467-020-19012-4,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWwo9KjtnulGv5x49fwRdv0BaAzUSXUnbifeAbsmXb7L1w?e=kTUxfF,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWwo9KjtnulGv5x49fwRdv0BaAzUSXUnbifeAbsmXb7L1w?e=kTUxfF&Download=1
80,81,Human,Adult,Cerebral cortex,Alzheimer's disease,Chromium,snRNA-seq,2022,GSE160936,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160936,human_brain_Smith_2022_10x,10.1007/s00401-021-02372-6,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWo6Nc1cp1xNjjgpt8ycDWMBinqq3-ev3oMKV9whha057A?e=hrPYBW,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EWo6Nc1cp1xNjjgpt8ycDWMBinqq3-ev3oMKV9whha057A?e=hrPYBW&Download=1
81,82,Human,Fetal,Whole brain,Development,Chromium,scRNA-seq,2022,,https://github.com/linnarsson-lab/developing-human-brain/,human_brain_fetal_Braun_2022_10x,10.1101/2022.10.24.513487,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcKSB59XtMlKn4Kls6YlOycB5sEya0xJsvWjQMi2TfTuPA?e=11BK9W,https://mail2sysueducn-my.sharepoint.com/:u:/g/personal/hziliang_mail2_sysu_edu_cn/EcKSB59XtMlKn4Kls6YlOycB5sEya0xJsvWjQMi2TfTuPA?e=11BK9W&Download=1
